,method,score,std,test_points,freq,dpoints,building_id,model,splits
3,frac_cyc,43.102770928840734,32.12251966591487,1752,60,8760,107,LinearRegression,4
4,domain,36.71592391143282,42.912896474971916,1752,60,8760,107,LinearRegression,4
0,baseline,63.619152028530934,8.126049408157739,1752,60,8760,107,RandomForestRegressor,4
1,baseline_cyc,54.92309226171471,8.357469294721994,1752,60,8760,107,RandomForestRegressor,4
2,frac,62.82736143074475,7.863189023169382,1752,60,8760,107,RandomForestRegressor,4
3,frac_cyc,68.6920210302478,5.7656137267864045,1752,60,8760,107,RandomForestRegressor,4
4,domain,65.53013279036041,8.928222904437796,1752,60,8760,107,RandomForestRegressor,4
0,baseline,64.32209555452198,16.891052041849093,1752,60,8760,113,LinearRegression,4
1,baseline_cyc,70.40240084353509,7.608929841767736,1752,60,8760,113,LinearRegression,4
2,frac,64.64378424994746,16.43972369279324,1752,60,8760,113,LinearRegression,4
3,frac_cyc,54.31496819607703,20.090414686173585,1752,60,8760,113,LinearRegression,4
4,domain,54.53517592865115,19.92545807955953,1752,60,8760,113,LinearRegression,4
0,baseline,74.63843046276685,3.5832327523712393,1752,60,8760,113,RandomForestRegressor,4
1,baseline_cyc,80.58320397252088,1.1370789300687894,1752,60,8760,113,RandomForestRegressor,4
2,frac,74.74079534762166,5.360641571725747,1752,60,8760,113,RandomForestRegressor,4
3,frac_cyc,83.32622432982616,4.305134683215759,1752,60,8760,113,RandomForestRegressor,4
4,domain,82.96940947709825,4.47445080615287,1752,60,8760,113,RandomForestRegressor,4
0,baseline,89.35824727049244,0.24346194404541735,1752,60,8760,488,LinearRegression,4
1,baseline_cyc,89.46337326901106,4.11798829956868,1752,60,8760,488,LinearRegression,4
2,frac,89.37392865939707,0.26394803122041127,1752,60,8760,488,LinearRegression,4
3,frac_cyc,84.68724264525319,7.9174735396593245,1752,60,8760,488,LinearRegression,4
4,domain,87.57089732031058,4.567481411150681,1752,60,8760,488,LinearRegression,4
0,baseline,90.41898966375005,1.4913570398886722,1752,60,8760,488,RandomForestRegressor,4
1,baseline_cyc,90.48515574540755,1.901796174133996,1752,60,8760,488,RandomForestRegressor,4
2,frac,89.96829998035652,2.5638910684833687,1752,60,8760,488,RandomForestRegressor,4
3,frac_cyc,89.20372953043517,2.8131646792826595,1752,60,8760,488,RandomForestRegressor,4
4,domain,89.50889820551689,1.9488852534339094,1752,60,8760,488,RandomForestRegressor,4
0,baseline,81.92363936471762,4.512483130842668,1752,60,8760,339,LinearRegression,4
1,baseline_cyc,76.8984928358135,11.492572889296355,1752,60,8760,339,LinearRegression,4
2,frac,81.96260877612343,4.481915274734915,1752,60,8760,339,LinearRegression,4
3,frac_cyc,73.71552011878573,16.40140944111446,1752,60,8760,339,LinearRegression,4
4,domain,74.01223540162673,14.7908342783857,1752,60,8760,339,LinearRegression,4
0,baseline,84.72870697698865,0.8851262184346342,1752,60,8760,339,RandomForestRegressor,4
1,baseline_cyc,86.3879985890174,1.6866330786023471,1752,60,8760,339,RandomForestRegressor,4
2,frac,85.11153039351481,1.3012498186341517,1752,60,8760,339,RandomForestRegressor,4
