,method,score,freq,dpoints,building_id
3,frac_cyc,-2.8490238165840704,60,8760,100
0,normal,0.946518695495263,60,8760,538
1,normal_cyc,-556533707541.8215,60,8760,538
2,frac,0.976023271933864,60,8760,538
3,frac_cyc,0.4169093818453847,60,8760,538
0,normal,-0.5932330231977876,60,8760,276
1,normal_cyc,-4417849893813.294,60,8760,276
2,frac,0.5627271609504588,60,8760,276
3,frac_cyc,-1.4976102022292022,60,8760,276
0,normal,0.7139530814938799,60,8760,510
1,normal_cyc,-1258816927940.4917,60,8760,510
2,frac,0.8618015572956685,60,8760,510
3,frac_cyc,0.26264976848722293,60,8760,510
0,normal,0.8809580337429109,60,8760,504
1,normal_cyc,-40218073082.42327,60,8760,504
2,frac,0.9236505601038995,60,8760,504
3,frac_cyc,0.21035755105638515,60,8760,504
0,normal,0.6374160565485201,60,8760,262
1,normal_cyc,-83482.87696178236,60,8760,262
2,frac,0.8109945402272251,60,8760,262
3,frac_cyc,-1.0145884618527443,60,8760,262
0,normal,0.2465811588700601,60,8760,289
1,normal_cyc,-4756907073214.744,60,8760,289
2,frac,0.8050966882882001,60,8760,289
3,frac_cyc,-0.10963712463641,60,8760,289
0,normal,0.2564615163275318,60,8760,288
1,normal_cyc,-2181121.5082744393,60,8760,288
2,frac,0.6847913692323306,60,8760,288
3,frac_cyc,-2.2491676728336234,60,8760,288
0,normal,0.8573482677397857,60,8760,505
1,normal_cyc,-643466727171.1428,60,8760,505
2,frac,0.9379137648151348,60,8760,505
3,frac_cyc,0.5338886160626809,60,8760,505
0,normal,-0.08447713228934949,60,8760,263
1,normal_cyc,-834792209721.5809,60,8760,263
2,frac,0.5409357450376916,60,8760,263
3,frac_cyc,-5.5764075094358425,60,8760,263
0,normal,0.39381011424583373,60,8760,277
1,normal_cyc,-3407526765877.4604,60,8760,277
2,frac,0.7490286476974171,60,8760,277
3,frac_cyc,-3.7389915455814684,60,8760,277
0,normal,0.49127969774879077,60,8760,511
1,normal_cyc,-3052564475612.753,60,8760,511
2,frac,0.6399574770979423,60,8760,511
3,frac_cyc,-1.8773323696892459,60,8760,511
0,normal,-11210446.761304876,60,8760,539
1,normal_cyc,0.8324539438081775,60,8760,539
2,frac,0.7980634412628551,60,8760,539
3,frac_cyc,0.37902258896408897,60,8760,539
0,normal,-300528736.4381805,60,8760,115
1,normal_cyc,-1.1916881645624455,60,8760,115
2,frac,-0.9596788070004882,60,8760,115
3,frac_cyc,-23.561663474623135,60,8760,115
0,normal,-747215540.7274331,60,8760,129
1,normal_cyc,-4.6375645857715515,60,8760,129
2,frac,-4.562996577931781,60,8760,129
3,frac_cyc,-43.08801981133961,60,8760,129
0,normal,0.5909980203070159,60,8760,471
1,normal_cyc,-1198898091443.3933,60,8760,471
2,frac,0.8839891743610757,60,8760,471
3,frac_cyc,-0.474605004574727,60,8760,471
0,normal,0.7521810348957718,60,8760,317
1,normal_cyc,-2205128439040.956,60,8760,317
2,frac,0.8594253790173036,60,8760,317
3,frac_cyc,-0.16816922291732575,60,8760,317
0,normal,0.6672647873703729,60,8760,303
1,normal_cyc,-948391771345.3137,60,8760,303
2,frac,0.8424801604625279,60,8760,303
3,frac_cyc,0.41325438087416067,60,8760,303
0,normal,0.05550995512915565,15,36960,19
1,normal_cyc,-1768436727711.775,15,36960,19
2,frac,0.11355458476456028,15,36960,19
3,frac_cyc,-194.01751594007175,15,36960,19
0,normal,0.7959619279793274,60,8760,465
1,normal_cyc,-1064671260668.0385,60,8760,465
2,frac,0.9293599946513021,60,8760,465
3,frac_cyc,0.22110060016510577,60,8760,465
0,normal,0.5015386821848316,15,96380,31
1,normal_cyc,-529531100085.72833,15,96380,31
2,frac,0.5225615188239334,15,96380,31
3,frac_cyc,0.33415610339720114,15,96380,31
0,normal,0.559741887860519,15,67887,25
1,normal_cyc,0.725103328016761,15,67887,25
2,frac,-64629654860.92575,15,67887,25
3,frac_cyc,-40089.18392699002,15,67887,25
0,normal,-10421221.644874984,60,8760,459
1,normal_cyc,0.32798700834509,60,8760,459
2,frac,-0.2001336114884656,60,8760,459
3,frac_cyc,-2.4218960271197467,60,8760,459
0,normal,0.5604473380409014,60,8760,329
1,normal_cyc,-324492175168.31067,60,8760,329
2,frac,0.8714815927112914,60,8760,329
3,frac_cyc,-0.30556308715206826,60,8760,329
0,normal,0.6244066920190678,15,69970,33
1,normal_cyc,0.7560626139680489,15,69970,33
2,frac,0.6592873040621843,15,69970,33
3,frac_cyc,-1.1727069715029115,15,69970,33
0,normal,0.5703649367891257,15,66015,27
1,normal_cyc,0.7231517520977785,15,66015,27
2,frac,0.6119869641345095,15,66015,27
3,frac_cyc,-68.83207898680386,15,66015,27
0,normal,0.7430859264242966,15,69327,2
1,normal_cyc,0.761455373145477,15,69327,2
2,frac,0.747287823960731,15,69327,2
3,frac_cyc,-4.721548818179542,15,69327,2
0,normal,0.7795516628389753,60,8760,315
1,normal_cyc,-288958067111.2838,60,8760,315
2,frac,0.8744497541115944,60,8760,315
3,frac_cyc,0.15589860682602422,60,8760,315
0,normal,0.5387309962274351,60,8760,473
1,normal_cyc,-14475759068256.545,60,8760,473
2,frac,0.7151218161957613,60,8760,473
3,frac_cyc,-1.1166573996183744,60,8760,473
0,normal,-11202735.469560832,60,8760,467
1,normal_cyc,0.8482171249115098,60,8760,467
2,frac,0.8788494014121991,60,8760,467
3,frac_cyc,0.3357593043436801,60,8760,467
0,normal,0.6453659644366675,60,8760,301
1,normal_cyc,-528669.9986301281,60,8760,301
2,frac,0.7318510128729991,60,8760,301
3,frac_cyc,-1.9312867444939645,60,8760,301
0,normal,0.28768963184268315,60,8760,498
1,normal_cyc,-622311.7051085142,60,8760,498
2,frac,0.7666370296251477,60,8760,498
3,frac_cyc,-0.03501279871092776,60,8760,498
0,normal,-385194813.9513116,60,8760,117
1,normal_cyc,-2.206931429539489,60,8760,117
2,frac,-2.349929007136311,60,8760,117
