,method,score,freq,dpoints,building_id
1,normal_cyc,-0.22730123097632657,60,8760,115
2,frac,-0.16136487563953816,60,8760,115
3,frac_cyc,-0.1291364319160122,60,8760,115
0,normal,-4.387203261049498,60,8760,129
1,normal_cyc,-4.83186201140406,60,8760,129
2,frac,-4.772026854093441,60,8760,129
3,frac_cyc,-4.988096283118433,60,8760,129
0,normal,0.8678645931372113,60,8760,471
1,normal_cyc,0.8906288233915106,60,8760,471
2,frac,0.8814723648125824,60,8760,471
3,frac_cyc,0.8739583646920622,60,8760,471
0,normal,0.8671450803499005,60,8760,317
1,normal_cyc,0.8720461964445633,60,8760,317
2,frac,0.868916738243711,60,8760,317
3,frac_cyc,0.8909169934693464,60,8760,317
0,normal,0.9102712881683046,60,8760,303
1,normal_cyc,0.9017950934827071,60,8760,303
2,frac,0.9095677521573374,60,8760,303
3,frac_cyc,0.9092741247673264,60,8760,303
0,normal,0.4084297828471766,15,36960,19
1,normal_cyc,0.42695693872597396,15,36960,19
2,frac,0.4119561802863311,15,36960,19
3,frac_cyc,0.40901971796999886,15,36960,19
0,normal,0.9497280239017816,60,8760,465
1,normal_cyc,0.9460328969085952,60,8760,465
2,frac,0.9446810580915541,60,8760,465
3,frac_cyc,0.950535530818544,60,8760,465
0,normal,0.7540830315880143,15,96380,31
1,normal_cyc,0.7564152123107927,15,96380,31
2,frac,0.7632831259462961,15,96380,31
3,frac_cyc,0.7729799631968772,15,96380,31
0,normal,0.7391558912727343,15,67887,25
1,normal_cyc,0.7540164666363063,15,67887,25
2,frac,0.7397017516354084,15,67887,25
3,frac_cyc,0.7555539282229898,15,67887,25
0,normal,0.032755603964855516,60,8760,459
1,normal_cyc,-0.08091591771730583,60,8760,459
2,frac,-0.19007475026090687,60,8760,459
3,frac_cyc,-0.021441728141828986,60,8760,459
0,normal,0.9027985409873133,60,8760,329
1,normal_cyc,0.9140393815430906,60,8760,329
2,frac,0.9019162290941057,60,8760,329
3,frac_cyc,0.9274557201746344,60,8760,329
0,normal,0.8369550008070459,15,69970,33
1,normal_cyc,0.8534038357443477,15,69970,33
2,frac,0.8459780486756636,15,69970,33
3,frac_cyc,0.853537499157759,15,69970,33
0,normal,0.7803966450167464,15,66015,27
1,normal_cyc,0.7848640274682908,15,66015,27
2,frac,0.7714267136016153,15,66015,27
3,frac_cyc,0.7829983014494147,15,66015,27
0,normal,0.8199694223235965,15,69327,2
1,normal_cyc,0.8023528252749113,15,69327,2
2,frac,0.817534016049395,15,69327,2
3,frac_cyc,0.8272217484567488,15,69327,2
0,normal,0.8587134070783877,60,8760,315
1,normal_cyc,0.8876097839541083,60,8760,315
2,frac,0.8763200652145556,60,8760,315
3,frac_cyc,0.9057368578527252,60,8760,315
0,normal,0.834462656108005,60,8760,473
1,normal_cyc,0.8444223246540862,60,8760,473
2,frac,0.846619865066303,60,8760,473
3,frac_cyc,0.8545726212763886,60,8760,473
0,normal,0.9368038291138335,60,8760,467
1,normal_cyc,0.9119759177633063,60,8760,467
2,frac,0.9213683779521216,60,8760,467
3,frac_cyc,0.9259252999373295,60,8760,467
0,normal,0.8777357095319653,60,8760,301
1,normal_cyc,0.8568121962026908,60,8760,301
2,frac,0.8562318529115335,60,8760,301
3,frac_cyc,0.872396516598731,60,8760,301
0,normal,0.8238280109992486,60,8760,498
1,normal_cyc,0.7949058254432844,60,8760,498
2,frac,0.763660955354487,60,8760,498
3,frac_cyc,0.8437321013192027,60,8760,498
0,normal,-2.5824375806121136,60,8760,117
1,normal_cyc,-2.5447904381836404,60,8760,117
